Addihockey10 (3rd)	26 October 2010	WP:SNOW	Frank	(1/20/1)
Cliffmore	21 October 2010	WP:NOTNOW	Access Denied	(0/3/0)
Tommy2010	10 October 2010	Withdrawn	Tommy2010	(8/9/2)
Richardcavell (2nd)	8 October 2010	Unsuccessful	Rlevse	(20/35/19)
Silver seren	6 October 2010	Unsuccessful	bibliomaniac15	(37/44/15)
Nations United	3 October 2010	Withdrawn	King of Hearts	(1/5/1)
TransporterMan	1 October 2010	Withdrawn	Xeno	(15/22/2)
07bargem	30 September 2010	WP:NOTNOW	Tommy2010	(0/6/0)
barts1a	29 September 2010	WP:NOTNOW	Xeno	(1/11/1)
Armbrust	28 September 2010	Withdrawn	Courcelles	(16/21/13)
Bobby122	23 September 2010	Withdrawn	Anowlin	(0/4/1)
Secret	22 September 2010	Withdrawn	Secret	(18/9/6)
Joe Gazz84	19 September 2010	Withdrawn	Nsk92	(0/4/1)
Torchwoodwho	16 September 2010	Withdrawn	Balloonman	(0/8/2)
YOSF0113	15 September 2010	Withdrawn	Phantomsteve	(0/1/5)
WikiCopter	13 September 2010	WP:NOTNOW	Fetchcomms	(4/15/5)
Minimac	11 September 2010	Withdrawn	Tommy2010	(3/4/1)
Triona (3rd)	7 September 2010	Withdrawn	Xeno	(0/6/0)
Terrasidius	1 September 2010	Withdrawn	SoWhy	(11/24/13)
MZMcBride (4th)	31 August 2010	Unsuccessful	Anonymous Dissident	(56/124/21)
T	30 August 2010	Withdrawn	Extransit	(9/15/5)
JahaalChakravarti	28 August 2010	WP:NOTNOW	Eagles247	(0/3/0)
GSorbyDesroid	28 August 2010	WP:NOTNOW	Courcelles	(0/6/3)
William S. Saturn	27 August 2010	Withdrawn	Phantomsteve	(7/21/0)
Falcon8765	27 August 2010	Withdrawn	Xeno	(41/26/2)
Jc3s5h	19 August 2010	No consensus	Nihonjoe	(38/30/8)
Saverx	11 August 2010	WP:NOTNOW	67.136.117.132	(2/10/0)
DeltaQuad	9 August 2010	No consensus	X!	(65/34/12)
Dylandlima	8 August 2010	WP:NOTNOW	Sonia	(2/8/0)
Slon02 (2nd)	6 August 2010	WP:NOTNOW	Courcelles	(2/9/7)
Editorofthewiki (2nd)	4 August 2010	WP:NOTNOW	Courcelles	(1/14/0)
S1312	3 August 2010	WP:NOTNOW	HJ Mitchell	(0/4/2)
Cgoodwin	3 August 2010	WP:NOTNOW	Nihonjoe	(39/44/10)
Ginbot86	31 July 2010	WP:NOTNOW	Nihonjoe	(2/11/7)
MC10 (2nd)	28 July 2010	Withdrawn	X!	(19/26/6)
ddbruce	22 July 2010	WP:NOTNOW	Courcelles	(0/9/1)
ProcEnforce	20 July 2010	WP:NOTNOW	Pedro	(0/9/2)
Marcus Qwertyus	20 July 2010	WP:SNOW	67.136.117.132	(2/26/6)
Rehman (2nd)	18 July 2010	WP:NOTNOW	HJ Mitchell	(0/12/2)
Connormah (2nd)	17 July 2010	No consensus	Anonymous Dissident	(88/30/11)
TEK	16 July 2010	WP:NOTNOW	Mkativerata	(0/15/0)
ArcAngel (2nd)	10 July 2010	Withdrawn	Paul Erik	(4/22/11)
White Shadows	7 July 2010	Withdrawn	Toddst1	(10/25/13)
Eridani	2 July 2010	Withdrawn	7	(0/6/0)
Herostratus (2nd)	30 June 2010	No consensus	Gwen Gale	(78/48/21)
Checker Fred	25 June 2010	WP:NOTNOW	Ktr101	(0/8/0)
The Utahraptor	25 June 2010	WP:NOTNOW	Sonia	(6/14/2)
Danielspencer91	16 June 2010	WP:NOTNOW	Wiooiw	(0/9/0)
Jempcorp	14 June 2010	WP:NOTNOW	Courcelles	(0/7/0)
Youndbuckerz	14 June 2010	Withdrawn	Xeno	(1/13/2)
Merle Lang	12 June 2010	WP:SNOW/WP:NOTNOW	HJ Mitchell	(0/4/1)
Gobbleswoggler (4th)	11 June 2010	WP:SNOW/WP:NOTNOW	HJ Mitchell	(1/11/2)
Immunize (2nd)	10 June 2010	Withdrawn	Xeno	(3/25/8)
Hadger	9 June 2010	WP:SNOW/WP:NOTNOW	Nihonjoe	(11/22/12)
Jeffrey Mall (2nd)	7 June 2010	Withdrawn	WereSpielChequers	(27/19/7)
Gobbleswoggler (3rd)	4 June 2010	WP:SNOW/WP:NOTNOW	Courcelles	(0/3/0)
Ktr101 (4th)	2 June 2010	Withdrawn	Juliancolton	(21/29/11)
KhamaPula	31 May 2010	WP:SNOW	Rlevse	(1/5/0)
Ipfreely555	31 May 2010	WP:NOTNOW	HJ Mitchell	(0/7/0)
Addihockey10 (2nd)	31 May 2010	WP:NOTNOW	HJ Mitchell	(0/11/3)
Slon02	30 May 2010	WP:NOTNOW	The High Fin Sperm Whale	(3/6/0)
Wilhelmina Will	30 May 2010	WP:NOTNOW	Ktr101	(4/22/5)
Rzrscm	30 May 2010	WP:NOTNOW	Fastily	(0/7/0)
rp0211	30 May 2010	WP:NOTNOW	King of Hearts	(0/4/0)
S Marshall (2nd)	26 May 2010	Withdrawn	decltype	(30/4/3)
Mikael Häggström	24 May 2010	Withdrawn	Fastily	(12/14/14)
1234r00t	20 May 2010	Withdrawn	7	(0/6/0)
Unionhawk	12 May 2010	Withdrawn	Unionhawk	(15/15/11)
ShawnIsHere	11 May 2010	WP:NOTNOW	NerdyScienceDude	(0/7/0)
SyedNaqvi90	29 April 2010	WP:SNOW/WP:NOTNOW	Beeblebrox	(1/7/1)
Blanchardb (2nd)	22 April 2010	Unsuccessful	X!	(54/38/7)
Immunize	16 April 2010	WP:NOTNOW	Ktr101	(0/7/3)
PopMusicWillNeverBeLowBrow (2nd)	13 April 2010	WP:NOTNOW	X!	(0/13/0)
Raaggio	8 April 2010	WP:NOTNOW	Nihonjoe	(0/12/2)
Ankitbhatt	6 April 2010	WP:NOTNOW	The High Fin Sperm Whale	(1/9/5)
Louis Taylor	4 April 2010	WP:SNOW	Chaser	(0/7/0)
Skater (2nd)	1 April 2010	Withdrawn	HJ Mitchell	(13/24/15)
Dusti	30 March 2010	Withdrawn	Courcelles	(7/26/3)
Flushing258 (2nd)	25 March 2010	WP:NOTNOW	Useight	(0/2/0)
Flushing258	23 March 2010	WP:NOTNOW	Juliancolton	(0/2/0)
Crotalus horridus (2nd)	22 March 2010	WP:SNOW	Nihonjoe	(4/25/3)
NastalgicCam	21 March 2010	WP:SNOW	JamieS93	(0/11/0)
Yuvmil (2nd)	20 March 2010	WP:NOTNOW	Useight	(0/5/0)
Marcus Aurelius Antoninus	20 March 2010	Withdrawn	Pedro	(0/8/1)
BigDom	18 March 2010	Withdrawn	Nihonjoe	(45/25/2)
P Carn	18 March 2010	WP:SNOW	Coffee	(2/10/2)
Kirachinmoku (2nd)	18 March 2010	Withdrawn	Nihonjoe	(0/11/1)
MichaelQSchmidt	15 March 2010	Withdrawn	PeterSymonds	(87/60/11)
Pepperpiggle	14 March 2010	Withdrawn	NerdyScienceDude	(3/9/3)
Mysdaao	14 March 2010	Withdrawn	Mysdaao	(13/11/17)
The High Fin Sperm Whale	14 March 2010	WP:NOTNOW	Coffee	(1/6/1)
Ecw.technoid.dweeb	11 March 2010	WP:NOTNOW	Courcelles	(1/8/3)
SJK	11 March 2010	WP:SNOW	Coffee	(7/11/6)
Rami R	9 March 2010	Withdrawn	Rami R	(61/24/5)
Airplaneman	8 March 2010	Withdrawn	JamieS93	(28/20/7)
Gobbleswoggler (2nd)	7 March 2010	WP:NOTNOW	JamieS93	(0/3/0)
matt319	7 March 2010	WP:NOTNOW	The High Fin Sperm Whale	(1/2/0)
Kirkoconnell	5 March 2010	WP:NOTNOW	True Pagan Warrior	(0/11/2)
Madokhn	5 March 2010	WP:NOTNOW	Useight	(0/5/0)
