date,bases,open_access_bases,bytes,open_access_bytes
"06/15/2010",26616954224793,25604187261787,84448327143856,83190926377571
"06/16/2010",26713728625735,25700715510883,84547830059792,83289397481589
"06/17/2010",26869884202025,25850473151797,84849678450853,83564590587245
"06/18/2010",27015851890945,25996440840717,85024352735745,83739264872137
"06/19/2010",27016122883407,25996711833179,85025002308468,83739914444860
"06/21/2010",27028023408818,25999118439983,85067991981278,83743603669455
"06/22/2010",27029583244161,26000678275326,85071512002920,83747123691097
"06/23/2010",27042309336535,26013404367700,85089697594953,83765309283130
"06/24/2010",27061804599107,26032899630272,85118673793308,83794285481485
"06/25/2010",27193671990777,26163779796531,85333768450455,84007557158919
"06/26/2010",27197583975105,26167691780859,85384072999480,84057861707944
"06/27/2010",27200863830105,26170971635859,85387440332109,84061229040573
"06/28/2010",27206618311485,26176726117239,85422403781091,84096192489555
"06/29/2010",27225913146760,26196020952514,85516238956820,84190027665284
"06/30/2010",27332055367018,26302163172772,86421530550381,85095319258845
"07/01/2010",27409249006259,26379356812013,86596711851903,85270500560367
"07/02/2010",27420407040186,26389009814678,86615994017313,85283752815103
"07/03/2010",27421329604855,26389932379347,86618175372764,85285934170554
"07/04/2010",27485952400919,26454555175411,86684077998456,85351836796246
"07/06/2010",27487015546563,26455618321055,86686245413132,85354004210922
"07/07/2010",27492071306438,26460674080930,86691738219402,85359497017192
"07/08/2010",28316018794652,26542552010693,87587340055048,85496102181245
"07/09/2010",28740862391319,26589588951198,88025774261701,85548368212171
"07/10/2010",28991020892821,26590636190344,88282706971538,85550768289429
"07/11/2010",29005126524741,26590636190344,88297116706411,85550768289429
"07/12/2010",29885955286255,26726897747966,89201021454139,85693534229343
"07/13/2010",30033979829865,26726897747966,89352249074125,85693534229343
"07/14/2010",30423600012174,26961527493745,89752836210215,85935782175483
"07/15/2010",30662509055110,27006571869521,89998421800877,85983296733363
"07/16/2010",30791974559043,27017512125886,90132049589670,85995988314137
"07/17/2010",30811074086622,27021357429479,90155085849465,86003444711685
"07/19/2010",30872608496587,27034671885672,90221042187537,86020121737243
"07/20/2010",30888997506682,27042703227767,90239125383049,86029675988413
"07/21/2010",30909365215817,27063070936902,90265934310322,86056484915686
"07/22/2010",30953274277755,27106979998840,90640704261988,86431254867352
"07/23/2010",31005300219782,27159005940867,91521866063767,87312416669131
"07/24/2010",31034750802789,27188456523874,91816733204359,87607283809723
"07/25/2010",31116943993623,27270649714708,91901442197280,87691992802644
"07/26/2010",31267695434376,27421401155461,92059700463617,87850251068981
"07/27/2010",31295545372473,27449251093558,92095771718220,87886322323584
"07/28/2010",31325637421894,27479343142979,92161148634347,87951699239711
"07/29/2010",32870090302004,27479431768089,93738425883066,87951901276758
"07/30/2010",32991969222776,27485286846661,93863410887242,87958391603155
"07/31/2010",32995705419041,27489023042926,93868915292265,87963896008178
"08/01/2010",32997256624579,27490574248464,93872382154474,87967362870387
"08/02/2010",33009730097431,27492998023166,93887833823137,87971960663662
"08/03/2010",33026541265924,27509809191659,93918570138572,88002696979097
"08/04/2010",36080857073457,30564124999192,97321387313467,91405514153992
"08/05/2010",36142948235494,30588301217429,97391007655925,91436438412137
"08/06/2010",36158598975440,30603951957375,97414800336488,91460231092700
"08/07/2010",36164496995386,30604275877540,97430787909935,91461015288779
"08/09/2010",38387438025116,30731158386491,99745378830561,91564301241967
"08/10/2010",38463256374127,30763558492302,99831561939372,91606133887088
"08/11/2010",38546296419295,30786946844995,99974472198872,91652769430149
"08/12/2010",38578958278024,30819608703724,100018323381698,91696620612975
"08/13/2010",39191714246682,30835563761269,100648211537195,91715015848845
"08/14/2010",39708046626246,30837598582033,101175849890473,91717276860642
"08/16/2010",39760606196426,30890158152213,101227623870082,91769050840251
"08/17/2010",40078778074983,30931656681942,101554665259075,91813435737088
"08/18/2010",40219550794311,31072429401270,101713682323274,91972452801287
"08/19/2010",40649623697174,31492881899933,102153180853516,92402103048828
"08/20/2010",41114709236034,31934693563993,102632769435116,92857897880884
"08/21/2010",41525081183434,32345065511393,103052237162157,93277365607925
"08/22/2010",41536381877791,32356366205750,103066939062759,93292067508527
"08/23/2010",41874442546387,32656032630316,103416926075629,93602814581175
"08/24/2010",42776609774128,33036669969457,104346185384642,93999285569287
"08/25/2010",43637536338911,33045638844462,105225969882471,94008730101918
"08/26/2010",43782632908426,33050673374577,105374282032681,94013878654910
"08/27/2010",43888964362827,33104717211378,105486398108692,94072580525494
"08/28/2010",44107163701712,33322916550263,105713501592934,94299684009736
"08/29/2010",44217967737186,33394955289737,105827487999373,94374059077662
"08/30/2010",44231398163624,33397797291665,105841477338703,94377216994462
"08/31/2010",44257943371398,33424342499439,106000423505436,94536163161195
"09/01/2010",44323064174662,33489463302703,106528058344271,95063798000030
"09/02/2010",44329269379118,33495668507159,106535202067157,95070941722916
"09/03/2010",44359716274729,33522792785972,106573838863549,95101491470161
"09/04/2010",44360289486549,33523365997792,106575153984446,95102806591058
"09/06/2010",44360531102891,33523607614134,106575703308831,95103355915443
"09/07/2010",44433462772241,33560660526900,106653870894695,95143201056333
"09/08/2010",44600721751308,33725983920838,106830974418075,95313727284364
"09/09/2010",44661984636565,33787246806095,106894828888848,95377581755137
"09/10/2010",44918285100504,34043547270034,107597034760366,96079787626655
"09/11/2010",44920019888746,34045282058276,107603502756382,96086255622671
"09/12/2010",44920036045911,34045298215441,107603540634545,96086293500834
"09/13/2010",44969245967771,34089230963301,107658911714171,96136262220608
"09/14/2010",49536196302897,38656181298427,112634370824429,101111721330866
"09/15/2010",49703068324493,38823053320023,114084366299084,102561716805521
"09/16/2010",49963243498346,39069412891476,116058403053814,104521613040273
"09/17/2010",50192399973963,39298569367093,117408146522255,105871356508714
"09/18/2010",50433834294454,39540003687584,118956492976696,107419702963155
"09/19/2010",50543175887744,39649345280874,120847425349867,109310635336326
